Window centred at x = -10 mm and y = 1 mm

 Radius (mm)	Acceptance (%)
0	0.0
1	0.217
2	0.72
3	1.589
4	3.138
5	5.052
6	7.055
7	9.098
8	11.328
9	13.775
10	15.867
11	18.167
12	19.844
13	21.788
14	23.387
15	25.153
16	26.663
17	27.896
18	29.475
19	30.768
20	32.208
21	33.718
22	35.435
23	36.955
24	39.234
25	41.504
26	43.625
27	45.875
28	48.47
29	50.809
30	53.345
31	55.763
32	58.624
33	61.417
34	64.002
35	66.173
36	67.989
37	69.509
38	71.087
39	71.985
40	72.577
