Window centred at x = 3 mm and y = 0 mm

 Radius (mm)	Acceptance (%)
0	0.0
1	0.654
2	3.268
3	3.922
4	4.575
5	8.497
6	13.072
7	16.993
8	17.647
9	19.608
10	20.915
11	24.183
12	26.144
13	27.451
14	28.758
15	29.412
16	30.719
17	33.333
18	36.601
19	42.484
20	45.752
21	49.02
22	52.288
23	56.863
24	58.824
25	62.745
26	64.706
27	66.013
28	66.013
29	68.627
30	69.281
31	69.935
32	70.588
33	71.242
34	73.203
35	74.51
36	74.51
37	75.817
38	77.124
39	77.778
40	79.739
