Window centred at x = -24 mm and y = 0 mm

 Radius (mm)	Acceptance (%)
0	0.0
1	0.0
2	1.562
3	3.125
4	3.125
5	6.25
6	7.812
7	7.812
8	9.375
9	15.625
10	15.625
11	17.188
12	18.75
13	18.75
14	21.875
15	28.125
16	28.125
17	31.25
18	32.812
19	39.062
20	40.625
21	46.875
22	48.438
23	53.125
24	53.125
25	56.25
26	56.25
27	60.938
28	60.938
29	65.625
30	65.625
31	75.0
32	75.0
33	76.562
34	76.562
35	76.562
36	78.125
37	78.125
38	78.125
39	81.25
40	87.5
