Window centred at x = -7 mm and y = 1 mm

 Radius (mm)	Acceptance (%)
0	0.0
1	0.582
2	1.569
3	3.237
4	4.924
5	7.095
6	9.641
7	11.871
8	14.022
9	15.749
10	17.663
11	19.706
12	21.877
13	23.357
14	24.709
15	25.854
16	26.988
17	28.311
18	29.554
19	30.728
20	31.547
21	32.702
22	33.827
23	35.09
24	36.935
25	39.067
26	41.504
27	45.342
28	48.53
29	52.358
30	56.019
31	59.71
32	62.66
33	65.038
34	67.229
35	69.282
36	70.851
37	71.739
38	72.548
39	73.268
40	74.127
